x,y,z,best_yaw_ang,best_pitch_ang
90.4254,39.0164,2.19544,30,0
85.7668,37.1131,2.20764,90,0
80.9176,35.3539,2.24029,90,0
76.0155,33.8574,2.21683,90,0
70.9833,32.2298,2.2374,60,0
66.0152,30.5422,2.21048,90,0
61.2892,28.8892,2.24867,90,0
56.2857,27.1094,2.26338,210,0
51.5236,25.4097,2.24242,210,0
46.7531,23.744,2.23509,150,0
41.8863,22.067,2.26246,150,0
37.0158,20.3674,2.25841,150,0
32.0723,18.8607,2.22645,150,0
27.1358,17.4102,2.23915,150,0
22.292,16.0415,2.23129,60,0
17.3884,14.6132,2.23333,90,0
12.6052,13.1146,2.22627,60,0
7.78293,11.6066,2.22247,150,0
3.00437,10.1379,2.09176,180,0
-2.0359,10.6085,1.97905,180,0
-5.23085,14.5944,2.00607,210,0
-7.03163,19.5334,2.047,210,0
-8.49012,24.3412,2.05412,180,0
-10.1905,29.1936,2.06858,240,0
-12.0599,34.1603,2.05509,240,0
-13.8929,38.9313,2.10685,240,0
-15.7253,43.7437,2.12682,240,0
-17.5683,48.7118,2.17767,240,0
-19.3053,53.486,2.17444,150,0
-21.1051,58.3176,2.18517,180,0
-22.9209,63.1216,2.18328,180,0
-24.7712,68.0074,2.23236,240,0
-26.6427,72.8246,2.25809,240,0
-28.4488,77.6438,2.30677,210,0
-30.3255,82.4852,2.33164,240,0
-32.2049,87.205,2.39604,240,0
-34.0018,91.9525,2.44108,180,0
-35.7692,96.8897,2.50253,180,0
-37.4528,101.79,2.55091,150,0
-39.1037,106.577,2.59262,150,0
-40.7912,111.36,2.62786,60,0
-42.4741,116.214,2.6561,240,0
-44.2475,121.121,2.6853,150,0
-45.9557,126.091,2.69284,90,0
-47.6226,131.093,2.76012,90,0
-49.2388,135.844,2.85933,60,0
-50.9458,140.866,3.05133,150,0
-52.6798,145.823,3.19914,0,0
-54.3218,150.643,3.20363,210,0
-55.9888,155.413,3.21432,240,0
-57.7014,160.293,3.18033,270,0
-59.5077,165.057,3.11574,270,0
-61.6509,169.755,3.06474,270,0
-64.4429,174.062,2.81467,210,0
-68.2131,177.457,2.6155,240,0
-72.8617,179.392,2.55,210,0
-77.9331,179.533,2.45099,240,0
-83.0505,178.406,2.38849,240,0
-87.7638,176.716,2.37261,240,0
-92.6294,174.916,2.32651,330,0
-97.3931,173.172,2.30839,330,0
-102.152,171.471,2.27037,90,0
-107.075,169.783,2.23548,60,0
-112.053,168.07,2.19775,0,0
-116.824,166.324,2.13478,330,0
-121.478,164.433,2.08935,0,0
-126.423,162.542,2.05539,210,0
-131.217,160.757,1.9944,210,0
-136.104,159.003,1.93879,240,0
-141.006,157.263,1.96201,240,0
-145.735,155.591,1.97559,210,0
-150.796,153.748,2.0294,210,0
-155.806,151.89,2.05662,0,0
-160.681,150.075,2.10545,0,0
-165.375,148.306,2.14978,0,0
-170.089,146.593,2.18517,210,0
-175.113,144.784,2.24121,210,0
-180.125,143.064,2.29552,210,0
-185.143,141.334,2.32792,210,0
-190.2,139.583,2.38407,210,0
-195.239,137.804,2.4,240,0
-200.221,136.133,2.44841,270,0
-205.178,134.412,2.46927,270,0
-209.933,132.815,2.49779,300,0
-214.861,131.07,2.58022,330,0
-219.762,129.294,2.64913,0,0
-224.471,127.612,2.65457,240,0
-229.456,125.858,2.55961,240,0
-234.188,124.154,2.55224,150,0
-239.034,122.366,2.52187,150,0
-243.887,120.64,2.44143,120,0
-248.632,118.994,2.46065,90,0
-253.492,117.281,2.42147,60,0
-258.491,115.56,2.38927,60,0
-263.281,113.843,2.37508,60,0
-268.222,111.988,2.3416,0,0
-272.934,110.277,2.29669,0,0
-277.689,108.468,2.27486,0,0
-282.522,106.681,2.25885,120,0
-287.411,104.866,2.19864,120,0
-292.395,103.005,2.15048,120,0
-297.439,101.143,2.11786,240,0
-302.556,99.2655,2.12012,240,0
-307.268,97.5402,2.0818,120,0
-312.021,95.8321,2.07557,120,0
-316.804,94.0802,2.08462,330,0
-321.559,92.3585,2.08491,120,0
-326.718,90.4564,2.0956,120,0
-331.742,88.6817,2.10869,120,0
-336.704,86.9097,2.11702,120,0
-341.701,85.0631,2.11526,150,0
-346.702,83.2586,2.11301,150,0
-351.793,81.4588,2.13102,120,0
-356.831,79.6715,2.13381,120,0
